name;percent_change;values
Conflux;30d;-23.36098675
Conflux;60d;-43.51757155
Conflux;90d;-39.9048556
APENFT;1h;-0.66302635
APENFT;24h;-1.04872735
APENFT;7d;0.85474377
APENFT;30d;-2.00279663
APENFT;60d;-8.54339133
APENFT;90d;-11.17268927
eCash;1h;-1.55571238
eCash;24h;-0.91307844
eCash;7d;5.39257616
eCash;30d;-14.05446997
eCash;60d;-35.23624837
eCash;90d;-31.74023023
THORChain;1h;-1.00372618
THORChain;24h;2.23510025
THORChain;7d;5.95104681
THORChain;30d;3.8715092
THORChain;60d;-64.78123848
THORChain;90d;-74.05703573
Chiliz;1h;-1.49902575
Chiliz;24h;-0.49914757
Chiliz;7d;4.75873624
Chiliz;30d;-20.64166945
Chiliz;60d;-42.08670642
Chiliz;90d;-41.46872591
Pudgy Penguins;1h;-1.89855029
Pudgy Penguins;24h;6.35773279
Pudgy Penguins;7d;13.12264035
Pudgy Penguins;30d;-22.74506131
Pudgy Penguins;60d;-74.37348279
Pudgy Penguins;90d;-72.11878996
FTX Token;1h;-0.76635896
FTX Token;24h;-0.60978257
FTX Token;7d;5.98625734
FTX Token;30d;-39.14716082
FTX Token;60d;-42.00912624
FTX Token;90d;-48.9684806
Aerodrome Finance;1h;-0.76370595
Aerodrome Finance;24h;0.90286225
Aerodrome Finance;7d;-0.59748452
Aerodrome Finance;30d;-32.42715225
Aerodrome Finance;60d;-55.5229649
Aerodrome Finance;90d;-62.69979938
Polygon;1h;-1.62665272
Polygon;24h;-0.08449436
Polygon;7d;-1.69798509
Polygon;30d;-30.00719112
Polygon;60d;-52.95106888
Polygon;90d;-50.52171344
Official Melania Meme;1h;-1.52737786
Official Melania Meme;24h;-2.94695587
Official Melania Meme;7d;5.67304948
Official Melania Meme;30d;-40.78574681
Official Melania Meme;60d;-89.92155588
Official Melania Meme;90d;-89.92155588
Pendle;1h;-1.62598043
Pendle;24h;2.13946669
Pendle;7d;18.1110727
Pendle;30d;-24.5087402
Pendle;60d;-34.05876927
Pendle;90d;-43.42929771
SPX6900;1h;-1.50547114
SPX6900;24h;11.98410143
SPX6900;7d;19.46676734
SPX6900;30d;-35.61951458
SPX6900;60d;-66.90942755
SPX6900;90d;-24.28864388
ApeCoin;1h;-1.21740434
ApeCoin;24h;-1.50763529
ApeCoin;7d;2.47704653
ApeCoin;30d;-25.17103487
ApeCoin;60d;-48.95712335
ApeCoin;90d;-49.79997917
Onyxcoin;1h;-1.84589271
Onyxcoin;24h;-1.52147123
Onyxcoin;7d;-12.96185735
Onyxcoin;30d;-44.66344817
Onyxcoin;60d;26.68054079
Onyxcoin;90d;513.92301239
Compound;1h;-1.78145365
Compound;24h;-1.28717908
Compound;7d;5.49088621
Compound;30d;-20.60662908
Compound;60d;-46.81358288
Compound;90d;-41.09976764
Trust Wallet Token;1h;-1.45659625
Trust Wallet Token;24h;0.30882798
Trust Wallet Token;7d;2.73313204
Trust Wallet Token;30d;-13.45388825
Trust Wallet Token;60d;-22.086657
Trust Wallet Token;90d;-17.23522098
Axelar;1h;-2.3664331
Axelar;24h;-1.03317526
Axelar;7d;8.01546601
Axelar;30d;-11.65538722
Axelar;60d;-35.09652802
Axelar;90d;-40.13491411
Fartcoin;1h;-2.05837851
Fartcoin;24h;14.36433992
Fartcoin;7d;25.10516305
Fartcoin;30d;9.29435039
Fartcoin;60d;-83.07867732
Fartcoin;90d;-65.27808302
Beam;1h;0.561389645
Beam;24h;5.332228714999999
Beam;7d;12.911473840000001
Beam;30d;-19.46682847
Beam;60d;-51.516372915
Beam;90d;-57.13814177
Terra Classic;1h;-1.16424888
Terra Classic;24h;1.73020383
Terra Classic;7d;4.99801312
Terra Classic;30d;-13.01102116
Terra Classic;60d;-28.66828529
Terra Classic;90d;-32.25088392
Amp;1h;-0.68523554
Amp;24h;1.4031564
Amp;7d;0.25584029
Amp;30d;-24.41964259
Amp;60d;-46.82018419
Amp;90d;-44.85882192
KAITO;1h;-0.91365404
KAITO;24h;3.42378955
KAITO;7d;-6.81117133
KAITO;30d;16.92909743
KAITO;60d;16.92909743
KAITO;90d;16.92909743
Gnosis;1h;-1.34935896
Gnosis;24h;0.24027991
Gnosis;7d;2.78811036
Gnosis;30d;-24.9042811
Gnosis;60d;-45.06302329
Gnosis;90d;-45.96098668
AIOZ Network;1h;-1.38418139
AIOZ Network;24h;0.89165933
AIOZ Network;7d;7.3995022
AIOZ Network;30d;-32.65637414
AIOZ Network;60d;-68.10654773
AIOZ Network;90d;-65.67904844
Brett (Based);1h;-2.20004816
Brett (Based);24h;1.96764201
Brett (Based);7d;2.62821789
Brett (Based);30d;-20.34663367
Brett (Based);60d;-68.29368462
Brett (Based);90d;-71.92829231
Morpho;1h;-2.50343758
Morpho;24h;3.79942879
Morpho;7d;5.87229503
Morpho;30d;-32.46664484
Morpho;60d;-62.0627587
Morpho;90d;-36.15141118
